id,index,match_id,period,timestamp,minute,second,event_type_id,event_type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,player_position_id,player_position_name,location_x,location_y,end_location_x,end_location_y,end_location_z,impact_height,duration,under_pressure,counterpress,substituted_player_id,substituted_player_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_cross,pass_cut_back,pass_switch,assisted_shot_id,key_pass_id,follows_dribble,one_on_one,open_goal,statsbomb_xg,off_camera,out,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,outcome_id,outcome_name,type_id,type_name,card_id,card_name,body_part_id,body_part_name,technique_id,technique_name,position_id,position_name,advantage,aerial_won,backheel,defensive,deflected,deflection,first_time,in_chain,miscommunication,nutmeg,offensive,overrun,penalty,recovery_failure,redirect,save_block,through_ball,throw_in,early_video_end,late_video_start,match_suspended,related_events,freeze_frame_player_id,freeze_frame_player_name,freeze_frame_player_position_id,freeze_frame_player_position_name,freeze_frame_teammate,freeze_frame_x,freeze_frame_y,formation_player_id,formation_player_name,formation_position_id,formation_position_name,formation_jersey_number,shot_shot_assist,shot_goal_assist,pass_cluster_id,pass_cluster_label,pass_cluster_probability,pass_success_probability,shot_execution_xg,shot_execution_xg_uplift,gk_save_difficulty_xg,gk_positioning_xg_suppression,gk_shot_stopping_xg_suppression
e194d901-1781-43cc-9fe7-2fda2a7128bd,11,3946949,1,00:00:04.278,0,4,30,Pass,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,4123,Marc Bola,6,Left Back,43.5,8.9,51.5,24.7,,,1.269674,false,false,,,10530,Jules Olivier Ntcham,17.709885,1.1020982,1,Ground Pass,false,false,false,,,false,,,,false,false,0.016334075,0.012620694,0.0037133815,0.009809511,0.011695181,-0.0018856702,0.0055990517,,,,,,,38,Left Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,99ce2e60-0d37-45b4-909e-b85c47901caa,,,,,,,,,,,,,,,4,Midfield third - Left - Backwards - Short - Ground Pass,0.7092728502,0.9763912559,,,,,
99ce2e60-0d37-45b4-909e-b85c47901caa,12,3946949,1,00:00:05.548,0,5,42,Ball Receipt*,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,10530,Jules Olivier Ntcham,15,Left Center Midfield,51.5,24.7,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,e194d901-1781-43cc-9fe7-2fda2a7128bd,,,,,,,,,,,,,,,,,,,,,,,
c888c20a-4828-419b-947a-0940f5d6ce4b,13,3946949,1,00:00:05.548,0,5,43,Carries,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,10530,Jules Olivier Ntcham,15,Left Center Midfield,51.5,24.7,51.5,24.7,,,0.115134,false,false,,,,,,,,,,,,,,false,,,,false,false,0.016334075,0.016334075,0.0,0.009809511,0.009809511,0.0,0.0,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"99ce2e60-0d37-45b4-909e-b85c47901caa, a0704e50-a0ce-42b9-aa5a-61059c542189",,,,,,,,,,,,,,,,,,,,,,,
a0704e50-a0ce-42b9-aa5a-61059c542189,14,3946949,1,00:00:05.663,0,5,30,Pass,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,10530,Jules Olivier Ntcham,15,Left Center Midfield,51.5,24.7,41.5,10.9,,,1.563023,false,false,,,,,17.042301,-2.197867,1,Ground Pass,false,false,false,,,false,,,,false,false,0.009290717,0.016334075,-0.007043359,0.02137949,0.009809511,0.011569979,-0.018613337,9,Incomplete,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6a2db986-6f02-4296-a741-2f6b258fd950,,,,,,,,,,,,,,,59,Midfield third - Left - Backwards - Short - Ground Pass,0.8825667864,0.9809800982,,,,,
6a2db986-6f02-4296-a741-2f6b258fd950,15,3946949,1,00:00:07.226,0,7,10,Interception,2,6468,Samsunspor,9,From Kick Off,996,Beşiktaş,10327,Rafael Alexandre Fernandes Ferreira da Silva,19,Center Attacking Midfield,78.6,69.2,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,0.02137949,0.009809511,0.011569979,0.009290717,0.016334075,-0.007043359,0.018613337,4,Won,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,a0704e50-a0ce-42b9-aa5a-61059c542189,,,,,,,,,,,,,,,,,,,,,,,
ffb6d793-7c1c-4f5c-a56b-126c34a56247,16,3946949,1,00:00:07.226,0,7,43,Carries,2,6468,Samsunspor,9,From Kick Off,996,Beşiktaş,10327,Rafael Alexandre Fernandes Ferreira da Silva,19,Center Attacking Midfield,78.6,69.2,72.4,73.7,,,2.910056,false,false,,,,,,,,,,,,,,false,,,,false,false,0.017768526,0.02137949,-0.003610963,0.009185167,0.009290717,-1.055496E-4,-0.0035054134,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"6a2db986-6f02-4296-a741-2f6b258fd950, a48328ae-efa7-42de-a963-6d79e5cc70ba",,,,,,,,,,,,,,,,,,,,,,,
a48328ae-efa7-42de-a963-6d79e5cc70ba,17,3946949,1,00:00:10.136,0,10,30,Pass,2,6468,Samsunspor,9,From Kick Off,996,Beşiktaş,10327,Rafael Alexandre Fernandes Ferreira da Silva,19,Center Attacking Midfield,72.4,73.7,52.4,61.2,,,1.601101,false,false,,,6746,Gabriel Armando de Abreu,23.584953,-2.5829933,1,Ground Pass,false,false,false,,,false,,,,false,false,0.009786523,0.017768526,-0.0079820035,0.01354091,0.009185167,0.0043557426,-0.012337746,9,Incomplete,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"9a7cc6aa-8146-4e33-bf3d-b1913ce7e6ce, caac7084-66e7-483d-a652-0ccf7466bfc1",,,,,,,,,,,,,,,36,Midfield third - Right - Backwards - Short - Ground Pass,0.9472882117,0.9905701876,,,,,
9a7cc6aa-8146-4e33-bf3d-b1913ce7e6ce,18,3946949,1,00:00:11.737,0,11,42,Ball Receipt*,2,6468,Samsunspor,9,From Kick Off,996,Beşiktaş,6746,Gabriel Armando de Abreu,3,Right Center Back,48.5,60.3,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,9,Incomplete,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,a48328ae-efa7-42de-a963-6d79e5cc70ba,,,,,,,,,,,,,,,,,,,,,,,
caac7084-66e7-483d-a652-0ccf7466bfc1,19,3946949,1,00:00:11.737,0,11,10,Interception,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,11168,Marius Mouandilmadji,23,Center Forward,67.7,18.9,,,,,0.0,false,true,,,,,,,,,,,,,,false,,,,false,false,0.01354091,0.009185167,0.0043557426,0.009786523,0.017768526,-0.0079820035,0.012337746,16,Success In Play,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,a48328ae-efa7-42de-a963-6d79e5cc70ba,,,,,,,,,,,,,,,,,,,,,,,
49ffd8eb-d565-4875-873e-cb5658a9a1ca,20,3946949,1,00:00:12.503,0,12,2,Ball Recovery,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,332097,Arbnor Muja,16,Left Midfield,65.4,5.0,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,
